method,image_index,any_trigger_succeeded,frac_triggers_succeeded
Baseline,4279,False,0.0
Baseline,4345,False,0.0
Baseline,4356,False,0.0
Baseline,4418,False,0.0
Baseline,4432,False,0.0
Baseline,4433,False,0.0
Baseline,4480,False,0.0
Baseline,4493,False,0.0
Baseline,4536,False,0.0
Baseline,4619,False,0.0
Baseline,4640,False,0.0
Baseline,4649,False,0.0
Baseline,4651,False,0.0
Baseline,4739,False,0.0
Baseline,4755,False,0.0
Baseline,4799,False,0.0
Baseline,4800,False,0.0
Baseline,4853,False,0.0
Baseline,4857,False,0.0
Baseline,4871,False,0.0
Baseline,4885,False,0.0
Baseline,4892,False,0.0
Baseline,4945,False,0.0
Baseline,4955,False,0.0
Baseline,4965,False,0.0
Baseline,4995,False,0.0
TOAP,35,False,0.0
TOAP,97,False,0.0
TOAP,111,False,0.0
TOAP,150,False,0.0
TOAP,169,False,0.0
TOAP,181,False,0.0
TOAP,207,False,0.0
TOAP,210,False,0.0
TOAP,285,False,0.0
TOAP,305,False,0.0
TOAP,325,False,0.0
TOAP,367,False,0.0
TOAP,385,False,0.0
TOAP,393,False,0.0
TOAP,408,False,0.0
TOAP,421,False,0.0
TOAP,423,False,0.0
TOAP,432,False,0.0
TOAP,440,False,0.0
TOAP,441,False,0.0
TOAP,442,False,0.0
TOAP,447,False,0.0
TOAP,469,False,0.0
TOAP,472,False,0.0
TOAP,478,False,0.0
TOAP,521,False,0.0
TOAP,557,False,0.0
TOAP,583,False,0.0
TOAP,610,False,0.0
TOAP,618,False,0.0
TOAP,625,False,0.0
TOAP,633,False,0.0
TOAP,676,False,0.0
TOAP,679,False,0.0
TOAP,699,False,0.0
TOAP,722,False,0.0
TOAP,740,False,0.0
TOAP,750,False,0.0
TOAP,775,False,0.0
TOAP,790,False,0.0
TOAP,793,False,0.0
TOAP,819,False,0.0
TOAP,820,False,0.0
TOAP,870,False,0.0
TOAP,879,False,0.0
TOAP,896,False,0.0
TOAP,912,False,0.0
TOAP,933,False,0.0
TOAP,940,False,0.0
TOAP,957,False,0.0
TOAP,968,False,0.0
TOAP,1005,False,0.0
TOAP,1048,False,0.0
TOAP,1085,False,0.0
TOAP,1094,False,0.0
TOAP,1144,False,0.0
TOAP,1159,False,0.0
TOAP,1177,False,0.0
TOAP,1193,False,0.0
TOAP,1293,False,0.0
TOAP,1305,False,0.0
TOAP,1316,False,0.0
TOAP,1323,False,0.0
TOAP,1345,False,0.0
TOAP,1350,False,0.0
TOAP,1351,False,0.0
TOAP,1377,False,0.0
TOAP,1395,False,0.0
TOAP,1438,False,0.0
TOAP,1483,False,0.0
TOAP,1487,False,0.0
TOAP,1509,False,0.0
TOAP,1520,False,0.0
TOAP,1538,False,0.0
TOAP,1567,False,0.0
TOAP,1577,False,0.0
TOAP,1591,False,0.0
TOAP,1642,False,0.0
TOAP,1648,False,0.0
TOAP,1675,False,0.0
TOAP,1692,False,0.0
TOAP,1696,False,0.0
TOAP,1697,False,0.0
TOAP,1745,False,0.0
TOAP,1762,False,0.0
TOAP,1767,False,0.0
TOAP,1782,False,0.0
TOAP,1786,False,0.0
TOAP,1811,False,0.0
TOAP,1874,False,0.0
TOAP,1879,False,0.0
TOAP,1919,False,0.0
TOAP,1975,False,0.0
TOAP,1994,False,0.0
TOAP,1996,False,0.0
TOAP,2007,False,0.0
TOAP,2051,False,0.0
TOAP,2056,False,0.0
TOAP,2075,False,0.0
TOAP,2083,False,0.0
TOAP,2104,False,0.0
TOAP,2109,False,0.0
TOAP,2116,False,0.0
TOAP,2127,False,0.0
TOAP,2132,False,0.0
TOAP,2135,False,0.0
TOAP,2138,False,0.0
TOAP,2145,False,0.0
TOAP,2150,False,0.0
TOAP,2152,False,0.0
TOAP,2199,False,0.0
TOAP,2218,False,0.0
TOAP,2227,False,0.0
TOAP,2229,False,0.0
TOAP,2239,False,0.0
TOAP,2260,False,0.0
TOAP,2263,False,0.0
TOAP,2272,False,0.0
TOAP,2288,False,0.0
TOAP,2292,False,0.0
TOAP,2293,False,0.0
TOAP,2304,False,0.0
TOAP,2384,False,0.0
TOAP,2388,False,0.0
TOAP,2442,False,0.0
TOAP,2443,False,0.0
TOAP,2449,False,0.0
TOAP,2450,False,0.0
TOAP,2453,False,0.0
TOAP,2456,False,0.0
TOAP,2467,False,0.0
TOAP,2476,False,0.0
TOAP,2503,False,0.0
TOAP,2603,False,0.0
TOAP,2624,False,0.0
TOAP,2649,False,0.0
TOAP,2698,False,0.0
TOAP,2699,False,0.0
TOAP,2719,False,0.0
TOAP,2722,False,0.0
TOAP,2727,False,0.0
TOAP,2730,False,0.0
TOAP,2752,False,0.0
TOAP,2756,False,0.0
TOAP,2764,False,0.0
TOAP,2800,False,0.0
TOAP,2879,False,0.0
TOAP,2912,False,0.0
TOAP,2942,False,0.0
TOAP,2997,False,0.0
TOAP,3021,False,0.0
TOAP,3041,False,0.0
TOAP,3071,False,0.0
TOAP,3083,False,0.0
TOAP,3093,False,0.0
TOAP,3107,False,0.0
TOAP,3111,False,0.0
TOAP,3126,False,0.0
TOAP,3136,False,0.0
TOAP,3185,False,0.0
TOAP,3225,False,0.0
TOAP,3231,False,0.0
